product_id,color,size,width,brand_name,model_name,lenskart_price,classification,wishlistCount,purchaseCount,avgRating,totalNoOfRatings,qty
145405,,,,Clalen Iris,Clalen Iris Sunflower Brown Zero Power Monthly,249,contact_lens,30,63,0.0,,49997
145422,,,,Clalen Iris,Clalen Iris Lily Green Zero Power Monthly,249,contact_lens,10,43,5.0,1,49998
145579,Blue,2-5 yrs,114 mm,Hooper online,LKJ E10063,1000,eyeframe,217,1524,4.5,4,70
145577,Purple,2-5 yrs,114 mm,Hooper online,LKJ E10063,1000,eyeframe,203,1142,4.5,4,54
145597,Transparent,8-12 yrs,125 mm,Hooper online,LKJ E10065,1000,eyeframe,214,1132,4.0,4,19
145859,Red,2-5 yrs,104 mm,Hooper online,LKJ E10062,1000,eyeframe,43,44,4.75,12,132
145862,Black,2-5 yrs,104 mm,Hooper online,LKJ E10062,1000,eyeframe,70,61,4.75,12,59
147244,Gold,Wide,140 mm,John Jacobs Online,JJ S13867,3500,sunglasses,547,1405,0.0,,5
149585,Brown,Narrow,131 mm,John Jacobs,JJ E14149AF,3000,eyeframe,2,132,0.0,,18
150773,Copper,Extra Wide,144 mm,John Jacobs,JJ E14382AF,3000,eyeframe,0,48,0.0,,10
150897,Silver,Medium,137 mm,John Jacobs,JJ E14308AF,3000,eyeframe,0,73,0.0,,33
150955,Silver,Wide,143 mm,John Jacobs,JJ E14434,3500,eyeframe,0,508,0.0,,704
150953,Silver,Wide,140 mm,John Jacobs,JJ E14434,3500,eyeframe,0,266,0.0,,551
151652,,,,Alcon Air Optix,Alcon Air Optix Honey Zero Power Monthly,1200,contact_lens,0,36,0.0,,49996
152964,Purple,Extra Wide,145 mm,John Jacobs,JJ E14735,3500,eyeframe,0,206,5.0,1,723
152998,Gunmetal,Medium,134 mm,OJOS,OJ E14711,1700,eyeframe,0,338,0.0,,46
205624,Gold,Wide,138 mm,OJOS,OJ E15223,2000,sunglasses,0,236,5.0,1,49
205664,,Extra Narrow,126 mm,OJOS,OJ E15234,1700,eyeframe,0,185,0.0,,15
206886,White,Wide,140 mm,OJOS,OJ S15421,2000,sunglasses,0,35,0.0,,54
209127,,,,Bausch & Lomb Lacelle,Bausch & Lomb Lacelle Topaz Blue Zero Power Monthly,899,contact_lens,0,17,0.0,,0
209132,,,,Bausch & Lomb Lacelle,Bausch & Lomb Lacelle Violet Amethyst Zero Power Monthly,899,contact_lens,0,11,0.0,,0
209262,Green,Extra Wide,143 mm,OJOS,OJ S15732,2000,sunglasses,0,55,0.0,,59
209267,Pink Transparent,Extra Wide,149 mm,OJOS,OJ S15734,2000,sunglasses,0,93,0.0,,76
210461,Brown Demi,Medium,135 mm,Vincent Chase,VC E13453,1700,eyeframe,0,439,0.0,,1548
210497,Pink,Narrow,132 mm,Vincent Chase,VC E11262,1700,eyeframe,0,297,0.0,,1420
213691,Gold,Medium,134 mm,John Jacobs,JJ E11457,3500,eyeframe,0,71,0.0,,1315
216064,Gunmetal,Wide,144 mm,Lenskart STUDIO,LK S16742,3000,sunglasses,0,488,0.0,,863
216406,Blue,Narrow,132 mm,Vincent Chase,VC E16791,1700,eyeframe,0,775,0.0,,1329
217393,Black,Extra Wide,145 mm,John Jacobs,JJ E16991,5000,eyeframe,0,117,0.0,,97
124489,Pink,Wide,141 mm,Mask,MS S10823,1500,sunglasses,853,641,5.0,3,151
133772,Pink,Medium,136 mm,Fallon Colby,FC S12037,1500,sunglasses,355,150,4.3,3,265
139589,Brown,Narrow,131 mm,John Jacobs Computer Glasses,JJ E11819,4000,eyeframe,591,186,4.55,26,18
143410,Black,Extra Narrow,128 mm,John Jacobs Computer Glasses,JJ E12996,4000,eyeframe,799,107,4.0,31,794
143415,Brown,Extra Narrow,125 mm,John Jacobs Computer Glasses,JJ E12998,4000,eyeframe,1045,185,4.8,22,176
143413,Brown,Narrow,130 mm,John Jacobs Computer Glasses,JJ E12997,4000,eyeframe,1517,257,4.4,20,128
143418,Grey,Extra Narrow,126 mm,John Jacobs Computer Glasses,JJ E13002,4000,eyeframe,1212,204,4.9,12,635
143417,Brown,Extra Narrow,126 mm,John Jacobs Computer Glasses,JJ E13002,4000,eyeframe,1109,200,4.9,12,1382
143422,Brown,Narrow,133 mm,John Jacobs Computer Glasses,JJ E13004,4000,eyeframe,1122,116,4.25,22,908
144085,Black,2-5 yrs,104 mm,Hooper online,LKJ E10062,1000,eyeframe,71,284,4.75,12,19
145113,Black,2-5 yrs,116 mm,Hooper online,MJ-207,1000,eyeframe,152,268,3.6,5,29
145400,,,,Clalen Iris,Clalen Iris Rhapsody Zero Power Daily,249,contact_lens,0,14,0.0,,49999
145401,,,,Clalen Iris,Clalen Iris Jazz Black Zero Power Daily,249,contact_lens,12,19,0.0,,50000
145414,,,,Clalen Iris,Clalen Iris Selena Purple Zero Power Monthly,249,contact_lens,7,35,0.0,,49998
145417,,,,Clalen Iris,Clalen Iris Claire Gray Zero Power Monthly,399,contact_lens,8,36,0.0,,49999
145853,Brown,2-5 yrs,104 mm,Hooper online,LKJ E10062,1000,eyeframe,72,85,4.75,12,109
145857,Black,2-5 yrs,104 mm,Hooper online,LKJ E10062,1000,eyeframe,71,87,4.75,12,95
147582,Transparent,Wide,140 mm,John Jacobs Online,JJ E13931,3500,eyeframe,138,112,0.0,,43
149584,Copper,Narrow,131 mm,John Jacobs,JJ E14149AF,3000,eyeframe,0,108,0.0,,46
150357,Maroon,Wide,142 mm,John Jacobs,JJ E14307,3500,eyeframe,0,158,5.0,1,685
150695,Copper,Extra Wide,144 mm,John Jacobs,JJ E14382,3500,eyeframe,10,418,5.0,1,574
150767,Gold,Medium,136 mm,John Jacobs,JJ E14380AF,3000,eyeframe,0,74,0.0,,11
150891,Blue,Medium,138 mm,John Jacobs,JJ E14306AF,3000,eyeframe,0,108,0.0,,65
150896,Black,Medium,137 mm,John Jacobs,JJ E14308AF,3000,eyeframe,0,52,0.0,,51
151651,,,,Alcon Air Optix,Alcon Air Optix Brown Zero Power Monthly,1200,contact_lens,0,64,0.0,,49996
151648,,,,Alcon Air Optix,Alcon Air Optix Blue Zero Power Monthly,1200,contact_lens,1,17,0.0,,49997
151995,Orange,Medium,136 mm,Lenskart Air,LA E14626AF,1700,eyeframe,0,95,0.0,,42
152729,Tortoise,Extra Wide,145 mm,John Jacobs,JJ S14698,5000,sunglasses,0,1046,0.0,,2
152965,White,Extra Wide,145 mm,John Jacobs Online,JJ E14735,3500,eyeframe,0,186,5.0,1,422
205631,White,Extra Wide,142 mm,OJOS,OJ S15225,2000,sunglasses,0,84,0.0,,73
205629,Black,Extra Wide,154 mm,OJOS,OJ S15224,2000,sunglasses,0,160,3.0,1,31
205633,Gold,Wide,138 mm,OJOS,OJ S15227,2000,sunglasses,0,198,4.65,3,59
205638,Gold,Wide,138 mm,OJOS,OJ S15227,2000,sunglasses,0,247,4.65,3,62
205653,Green,Wide,140 mm,OJOS,OJ E15230,1700,eyeframe,0,312,5.0,1,2
205652,Orange,Wide,140 mm,OJOS,OJ E15230,1700,eyeframe,0,146,5.0,1,32
205657,Pink,Medium,136 mm,OJOS,OJ E15232,1700,eyeframe,0,204,0.0,,10
206884,Black,Wide,140 mm,OJOS,OJ S15421,2000,sunglasses,0,164,0.0,,161
207379,Black,Medium,136 mm,OJOS,OJ E15439,1700,eyeframe,0,107,0.0,,29
209115,,,,Bausch & Lomb Lacelle,Bausch & Lomb Lacelle Topaz Blue Zero Power Monthly,699,contact_lens,0,44,0.0,,4996
209114,,,,Bausch & Lomb Lacelle,Bausch & Lomb Lacelle Blue Zero Power Monthly,699,contact_lens,0,28,0.0,,5000
209118,,,,Bausch & Lomb Lacelle,Bausch & Lomb Lacelle Turquoise Green Zero Power Monthly,699,contact_lens,0,14,0.0,,5000
209120,,,,Bausch & Lomb Lacelle,Bausch & Lomb Lacelle Violet Amethyst Zero Power Monthly,699,contact_lens,0,34,0.0,,5000
209130,,,,Bausch & Lomb Lacelle,Bausch & Lomb Lacelle Turquoise Green Zero Power Monthly,899,contact_lens,0,4,0.0,,0
209128,,,,Bausch & Lomb Lacelle,Bausch & Lomb Lacelle Ocean Green Zero Power Monthly,899,contact_lens,0,6,0.0,,0
209133,,,,Bausch & Lomb Lacelle,Bausch & Lomb Lacelle Aqua Zero Power Monthly,899,contact_lens,0,6,0.0,,0
209141,,,,Bausch & Lomb Lacelle,Bausch & Lomb Lacelle Blue Zero Power Monthly,499,contact_lens,0,83,0.0,,5000
209247,Tortoise,Medium,135 mm,OJOS,OJ S15729,2000,sunglasses,0,19,0.0,,3
209246,Black,Medium,135 mm,OJOS,OJ S15729,2000,sunglasses,0,45,0.0,,33
209260,Black,Extra Wide,143 mm,OJOS,OJ S15732,2000,sunglasses,0,108,0.0,,39
215909,Grey,Narrow,132 mm,Lenskart Air,LA E16725,1700,eyeframe,0,554,0.0,,989
216059,Gunmetal,Medium,138 mm,Lenskart STUDIO,LK S16740,3000,sunglasses,0,314,0.0,,695
216058,Gold,Medium,138 mm,Lenskart STUDIO,LK S16740,3000,sunglasses,0,332,0.0,,668
216453,Pink,Medium,136 mm,Vincent Chase,VC E16788,1700,eyeframe,0,906,0.0,,1287
216512,Grey,Narrow,132 mm,Lenskart Air,LA E11411/N,3000,eyeframe,0,633,0.0,,464
217394,Brown,Extra Wide,145 mm,John Jacobs,JJ E16991,5000,eyeframe,0,79,0.0,,79
133430,Brown,Narrow,133 mm,John Jacobs Online,JJ S12044,3500,sunglasses,480,431,5.0,1,31
142070,Green,Narrow,131 mm,John Jacobs Computer Glasses,JJ E10529,4000,eyeframe,242,50,3.15,43,8
143411,Brown,Extra Narrow,128 mm,John Jacobs Computer Glasses,JJ E12996,4000,eyeframe,626,70,4.0,31,317
143479,Gold,Narrow,131 mm,John Jacobs Online,JJ E13486,3500,eyeframe,646,291,0.0,,3
144086,Purple,2-5 yrs,104 mm,Hooper online,LKJ E10062,1000,eyeframe,94,385,4.75,12,139
144094,Pink,2-5 yrs,104 mm,Hooper online,LKJ E10062,1000,eyeframe,76,486,4.75,12,2
144095,Red,2-5 yrs,104 mm,Hooper online,LKJ E10062,1000,eyeframe,61,343,4.75,12,132
144092,Red,2-5 yrs,104 mm,Hooper online,LKJ E10062,1000,eyeframe,98,440,4.75,12,24
145108,Red,2-5 yrs,116 mm,Hooper online,MJ-207,1000,eyeframe,145,37,3.6,5,64
145410,,,,Clalen Iris,Clalen Iris Chloe Brown Zero Power Monthly,399,contact_lens,18,33,0.0,,50000
145411,,,,Clalen Iris,Clalen Iris Emma Gray Zero Power Monthly,399,contact_lens,7,10,0.0,,49999
145416,,,,Clalen Iris,Clalen Iris Joy Purple Zero Power Monthly,249,contact_lens,13,35,0.0,,49999
145420,,,,Clalen Iris,Clalen Iris Rachel Gray Zero Power Monthly,249,contact_lens,15,45,0.0,,49994
