id,color,size,width,brand_name,model_name,lenskart_price,classification,wishlistCount,purchaseCount,avgRating,totalNoOfRatings,qty
213273,Black,Narrow,134 mm,Vincent Chase Polarized,VC S16553,2000,sunglasses,0,1073,0.0,,636
215432,Brown,Wide,139 mm,Lenskart Air,LA E14098,2000,eyeframe,0,631,0.0,,1591
219781,Blue Transparent,Extra Narrow,127 mm,Vincent Chase,VC E11152,2000,eyeframe,0,494,4.4,344,1996
149815,Black,Wide,140 mm,Lenskart READERS,LR 6967,500,non_power_reading,28,7162,5.0,17,1202
211293,Black,Wide,140 mm,Lenskart Air,LA E13069-W,2000,eyeframe,0,848,5.0,1,2141
215271,Transparent,Medium,137 mm,John Jacobs,JJ E11724,3500,eyeframe,0,576,0.0,,1034
134573,Silver,Medium,134 mm,John Jacobs,JJ E12340,5000,eyeframe,1643,10542,4.45,23,719
149171,Silver,Narrow,130 mm,Lenskart Blu,LB E14131,2000,non_power_reading,9076,11228,4.5,91,4621
215904,Grey,Medium,136 mm,Lenskart Air,LA E16723,2000,eyeframe,0,930,0.0,,777
213685,Grey,Extra Wide,142 mm,John Jacobs,JJ E11727XL,3500,eyeframe,0,532,0.0,,532
217191,Brown,Medium,137 mm,Lenskart STUDIO,LS E15666,2000,eyeframe,0,2098,0.0,,330
215363,Blue,Medium,136 mm,Vincent Chase,VC E16649,2000,eyeframe,0,1315,0.0,,923
201400,Silver,Wide,141 mm,John Jacobs,JJ E12710,3500,eyeframe,0,3875,4.4,42,398
211286,Black,Wide,141 mm,John Jacobs,JJ E16147,3500,eyeframe,0,2402,0.0,,738
211384,Black,Narrow,133 mm,Lenskart Air,LA E16154,2000,eyeframe,0,2529,0.0,,812
216033,Black,Medium,136 mm,Vincent Chase Polarized,VC S16777,2000,sunglasses,0,792,0.0,,736
137917,Black,Narrow,130 mm,John Jacobs,JJ E13024,3500,eyeframe,1709,35788,4.6,36,605
146471,Brown,Wide,140 mm,John Jacobs,JJ E13744,3500,eyeframe,1724,2150,4.5,4,529
148835,Grey,Medium,136 mm,Fossil,FOS 7061,7000,eyeframe,984,4915,5.0,1,355
138261,Gold,Wide,140 mm,John Jacobs,JJ S13087,5000,sunglasses,362,8146,4.5,6,1002
205309,Black,Narrow,131 mm,John Jacobs,JJ E15135,6000,eyeframe,0,3271,0.0,,493
212323,Purple,Medium,134 mm,Lenskart Air,LA E16347,2000,eyeframe,0,1717,0.0,,686
209022,Black,Medium,135 mm,Vincent Chase,VC E15505,2000,eyeframe,0,2676,0.0,,281
212504,Orange,Medium,135 mm,Vincent Chase,VC E13453,2000,eyeframe,0,448,0.0,,1511
148833,Grey,Medium,135 mm,Fossil,FOS 6091,7000,eyeframe,185,5020,0.0,,56
211306,Silver,Narrow,129 mm,Vincent Chase,VC E12422-N,2000,eyeframe,0,631,0.0,,2391
211402,Blue,Narrow,132 mm,Vincent Chase,VC E13048,2000,eyeframe,0,1775,0.0,,676
213241,Silver,Medium,138 mm,Vincent Chase Polarized,VC S16540,1500,sunglasses,0,882,0.0,,649
152668,Gunmetal,Narrow,132 mm,John Jacobs,JJ E14687,5000,eyeframe,45,7579,5.0,3,430
206132,Blue,Medium,137 mm,Lenskart Air,LA E15321,3000,eyeframe,0,13968,4.5,20,214
214490,Black,Medium,138 mm,Lenskart Air,LA E16616,2000,eyeframe,0,538,0.0,,1124
215934,Black,Medium,136 mm,LENSKART BLU READERS,LR E16729,700,non_power_reading,0,2689,0.0,,568
152671,Silver,Narrow,131 mm,John Jacobs,JJ E14688,5000,eyeframe,0,4878,5.0,2,1097
207054,Black,Medium,136 mm,John Jacobs,JJ S15461,5000,sunglasses,0,2631,0.0,,369
211224,Black,Narrow,132 mm,Vincent Chase,VC E14209,2000,eyeframe,0,2050,0.0,,775
213286,Silver,Wide,141 mm,Vincent Chase Polarized,VC S16559,1500,sunglasses,0,1186,0.0,,88
219492,,,,Aquacolor,Aquacolor Icy Blue Zero Power Dailies 10 Lens Box,599,contact_lens,0,451,0.0,,0
137923,Black,Medium,137 mm,John Jacobs,JJ E13026,3500,eyeframe,4354,8006,4.65,19,752
209204,Black,Wide,140 mm,Lenskart READERS,LR 6967,500,non_power_reading,0,2829,5.0,2,653
209730,Black,Medium,134 mm,Vincent Chase,VC E15838,2000,eyeframe,0,1733,0.0,,175
143904,Transparent,Medium,135 mm,Lenskart Blu,LB E13526,1500,non_power_reading,18091,36645,4.5,234,1992
201433,Silver,Medium,138 mm,John Jacobs,JJ E13556,3500,eyeframe,0,3544,0.0,,630
205898,Silver,Medium,136 mm,John Jacobs,JJ E15274,5000,eyeframe,0,4429,4.5,2,784
212603,Black,Narrow,135 mm,Vincent Chase Polarized,VC S15522,2000,sunglasses,0,1565,0.0,,782
215372,Black,Narrow,132 mm,Vincent Chase,VC E16653,2000,eyeframe,0,1178,0.0,,831
138249,Blue,Extra Wide,142 mm,John Jacobs,JJ S13082,3500,sunglasses,1018,6660,4.85,7,580
152057,Green,Narrow,133 mm,Lenskart Air,LA 0353,2000,eyeframe,80,21946,4.75,79,13
